2022-11-08T14:00:00,2022-11-08T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-11-10T10:00:00,2022-11-10T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-11-10T14:00:00,2022-11-10T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-11-14T08:00:00,2022-11-14T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-11-14T09:30:00,2022-11-14T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-11-14T13:00:00,2022-11-14T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-11-15T14:00:00,2022-11-15T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-11-17T10:00:00,2022-11-17T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-11-17T14:00:00,2022-11-17T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-11-21T08:00:00,2022-11-21T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-11-21T09:30:00,2022-11-21T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-11-21T13:00:00,2022-11-21T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-11-22T14:00:00,2022-11-22T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-11-24T10:00:00,2022-11-24T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-11-24T14:00:00,2022-11-24T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-11-28T08:00:00,2022-11-28T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-11-28T09:30:00,2022-11-28T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-11-28T18:00:00,2022-11-28T19:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),1R026 FR
2022-11-29T14:00:00,2022-11-29T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-12-01T10:00:00,2022-12-01T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-12-01T14:00:00,2022-12-01T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-12-05T08:00:00,2022-12-05T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-12-05T09:30:00,2022-12-05T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-12-05T13:00:00,2022-12-05T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-12-06T13:00:00,2022-12-06T14:00:00,Digital Systems Project,Drop In (Online - Live), 
2022-12-06T14:00:00,2022-12-06T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-12-08T10:00:00,2022-12-08T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-12-08T14:00:00,2022-12-08T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2022-12-12T08:00:00,2022-12-12T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2022-12-12T09:30:00,2022-12-12T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2022-12-12T13:00:00,2022-12-12T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2022-12-13T14:00:00,2022-12-13T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2022-12-15T10:00:00,2022-12-15T11:00:00,Mobile Applications,Lecture (On Campus),2Q49 FR
2022-12-15T14:00:00,2022-12-15T16:00:00,Mobile Applications,Computer Practical (On Campus),1N52 FR
2023-01-09T08:00:00,2023-01-09T09:00:00,Security Data Analytics and Visualisation,Pre-recorded Material, 
2023-01-09T09:30:00,2023-01-09T12:30:00,Security Data Analytics and Visualisation,Practical (On Campus),3Q44 FR
2023-01-09T13:00:00,2023-01-09T14:00:00,Distributed and Enterprise Software Development/Enterprise Systems Development,Lecture (On Campus),4Q56 FR
2023-01-10T13:00:00,2023-01-10T14:00:00,Digital Systems Project,Lecture (On Campus),4B031 FR
2023-01-10T14:00:00,2023-01-10T16:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-01-11T09:00:00,2023-01-11T12:00:00,Mobile Applications,Self-Directed Study (On Campus),"1N52 FR,1N65 FR"
2023-01-30T11:00:00,2023-01-30T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-01-31T15:30:00,2023-01-31T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-02-01T10:00:00,2023-02-01T18:00:00,Digital Systems Project,Project Day (On Campus),1R026 FR
2023-02-02T16:30:00,2023-02-02T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-02-03T09:00:00,2023-02-03T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-02-03T12:00:00,2023-02-03T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-02-06T11:00:00,2023-02-06T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-02-07T15:30:00,2023-02-07T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-02-09T16:30:00,2023-02-09T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-02-10T09:00:00,2023-02-10T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-02-10T12:00:00,2023-02-10T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-02-13T11:00:00,2023-02-13T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-02-14T15:30:00,2023-02-14T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-02-16T16:30:00,2023-02-16T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-02-17T09:00:00,2023-02-17T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-02-17T12:00:00,2023-02-17T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-02-20T11:00:00,2023-02-20T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-02-21T15:30:00,2023-02-21T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-02-23T16:30:00,2023-02-23T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-02-24T09:00:00,2023-02-24T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-02-24T12:00:00,2023-02-24T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-02-27T11:00:00,2023-02-27T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-02-28T15:30:00,2023-02-28T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-03-02T16:30:00,2023-03-02T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-03-03T09:00:00,2023-03-03T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-03-03T12:00:00,2023-03-03T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-03-06T11:00:00,2023-03-06T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-03-07T15:30:00,2023-03-07T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-03-09T16:30:00,2023-03-09T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-03-10T09:00:00,2023-03-10T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-03-10T12:00:00,2023-03-10T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-03-13T11:00:00,2023-03-13T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-03-14T15:30:00,2023-03-14T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-03-16T16:30:00,2023-03-16T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-03-17T09:00:00,2023-03-17T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-03-17T12:00:00,2023-03-17T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-03-20T11:00:00,2023-03-20T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-03-20T16:00:00,2023-03-20T17:00:00,Digital Systems Project,Drop In (Online - Live), 
2023-03-21T15:30:00,2023-03-21T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-03-23T16:30:00,2023-03-23T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-03-24T09:00:00,2023-03-24T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-03-24T12:00:00,2023-03-24T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
2023-03-27T11:00:00,2023-03-27T12:00:00,Distributed and Enterprise Software Development,Lecture (On Campus),2B020 FR
2023-03-28T15:30:00,2023-03-28T18:30:00,Professional Studies in Computing,Workshop (On Campus),3Q16 FR
2023-03-30T16:30:00,2023-03-30T18:30:00,Advanced Databases,Computer Practical (On Campus),2N24/40 FR
2023-03-31T09:00:00,2023-03-31T11:00:00,Distributed and Enterprise Software Development,Practical (On Campus),3Q44 FR
2023-03-31T12:00:00,2023-03-31T13:00:00,Advanced Databases,Lectorial (On Campus),2Q49 FR
